,index,gltr_0,gltr_1,gltr_2,gltr_3,gltr_Label,gpt_zero_Burtiness,gpt_zero_Label,gpt_zero_Perplexity,roberta_Label,roberta_large_Label,roberta_large_score_0,roberta_large_score_1,roberta_score_Fake,roberta_score_Real,symbol,year,quarter,Text
1,mean,0.7118033794121872,0.1888941158288049,0.0780630868313998,0.021239417927608126,0.75,496.4166666666667,0.4166666666666667,23.916666666666668,0.0,0.0,0.98961108426253,0.010388901035184972,0.0002733431222926204,0.9997266580661138,AAPL,2014,2,
2,std,0.021413770625090436,0.02237021899656335,0.014138746103691093,0.007097310841330611,0.45226701686664544,729.8129845544286,0.5149286505444373,2.9063670960444234,0.0,0.0,0.022924749814019957,0.022924738734604884,8.884890221753122e-05,8.884547471679968e-05,AAPL,2014,2,
3,min,0.6875,0.14285714285714285,0.05105105105105105,0.0053475935828877,0.0,137.0,0.0,18.0,0.0,0.0,0.9227868914604187,0.00047924177488312125,0.00016944014350883663,0.9995753169059753,AAPL,2014,2,
4,25%,0.7009359433374844,0.17996600349541525,0.07023943498001475,0.016949556026376558,0.75,195.5,0.0,23.0,0.0,0.0,0.9960135817527771,0.0005867205472895876,0.00020967003001715057,0.9996402561664581,AAPL,2014,2,
5,50%,0.7073920728311663,0.1943506006006006,0.07827822550274911,0.02123911560531279,1.0,239.5,0.0,24.5,0.0,0.0,0.9989466965198517,0.0010532619198784232,0.00022957648616284132,0.9997704029083252,AAPL,2014,2,
6,75%,0.7165049665049665,0.2058093057549769,0.08386752136752136,0.02711958533876342,1.0,420.75,1.0,26.0,0.0,0.0,0.9994133114814758,0.003986390947829932,0.0003597707545850426,0.999790370464325,AAPL,2014,2,
7,max,0.7654986522911051,0.21311475409836064,0.1092436974789916,0.03133903133903134,1.0,2759.0,1.0,28.0,0.0,0.0,0.9995207786560059,0.07721307873725891,0.0004246617027092725,0.9998304843902588,AAPL,2014,2,
0,count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AAPL,2014,3,
1,mean,0.7059605866594463,0.1942882606890912,0.07795809432993547,0.021793058321527177,0.6,535.3,0.6,25.2,0.0,0.0,0.9970654308795929,0.002934582135640085,0.00027017267857445406,0.9997298181056976,AAPL,2014,3,
2,std,0.025854902448082407,0.020757298627629844,0.01119324732772012,0.007869203550007456,0.5163977794943223,470.4636129512155,0.5163977794943223,3.8815804341359037,0.0,0.0,0.0030490125625921597,0.0030490190400033175,0.000116036856761632,0.00011603380935330133,AAPL,2014,3,
