,index,Text,id,model,gltr_0,gltr_1,gltr_2,gltr_3,gltr_Label,gpt_zero_Burtiness,gpt_zero_Label,gpt_zero_Perplexity,roberta_Label,roberta_large_Label,roberta_large_score_0,roberta_large_score_1,roberta_score_Fake,roberta_score_Real
0,count,,244,244,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,244,244,0.6599566489819553,0.20269339718609636,0.09671815578196159,0.0406317980499867,0.0,226.5,0.5,38.0,0.0,0.0,0.9988865256309509,0.0011134453816339374,0.00021359352103900164,0.9997864365577698
2,std,,244,244,0.0264651840807491,0.01499490881430695,0.031007922138515213,0.010452170756540903,0.0,53.033008588991066,0.7071067811865476,2.8284271247461903,0.0,0.0,0.00012467037789522454,0.0001246264200493167,2.7099291719131767e-05,2.7142570441015755e-05
3,min,,244,244,0.6412429378531074,0.192090395480226,0.07479224376731301,0.0332409972299169,0.0,189.0,0.0,36.0,0.0,0.0,0.9987983703613281,0.0010253211949020624,0.00019443142809905112,0.9997672438621521
4,25%,,244,244,0.6505997934175314,0.19739189633316118,0.0857551997746373,0.036936397639951796,0.0,207.75,0.25,37.0,0.0,0.0,0.9988424479961395,0.0010693832882679999,0.00020401247456902638,0.9997768402099609
5,50%,,244,244,0.6599566489819553,0.20269339718609636,0.09671815578196159,0.0406317980499867,0.0,226.5,0.5,38.0,0.0,0.0,0.9988865256309509,0.0011134453816339374,0.00021359352103900164,0.9997864365577698
6,75%,,244,244,0.6693135045463793,0.20799489803903157,0.10768111178928588,0.0443271984600216,0.0,245.25,0.75,39.0,0.0,0.0,0.9989306032657623,0.0011575074749998748,0.0002231745675089769,0.9997960329055786
7,max,,244,244,0.6786703601108033,0.21329639889196675,0.11864406779661017,0.0480225988700565,0.0,264.0,1.0,40.0,0.0,0.0,0.9989746809005737,0.0012015695683658123,0.00023275561397895217,0.9998056292533875
0,count,,245,245,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,245,245,0.670959667965656,0.18742673383391945,0.1051310078256186,0.036482590374805945,0.0,395.5,0.0,34.5,0.0,0.0,0.9448122680187225,0.055187758058309555,0.027146599648403935,0.972853422164917
2,std,,245,245,0.008894002221938917,0.014393945661450339,0.004715837450171663,0.0007841059893397062,0.0,21.920310216782973,0.0,2.1213203435596424,0.0,0.0,0.031935383613129094,0.03193540995490941,0.037738389016861815,0.03773845674404856
3,min,,245,245,0.6646706586826348,0.17724867724867724,0.10179640718562874,0.03592814371257485,0.0,380.0,0.0,33.0,0.0,0.0,0.9222305417060852,0.032606013119220734,0.0004615288635250181,0.9461683034896851
4,25%,,245,245,0.6678151633241454,0.18233770554129836,0.10346370750562367,0.036205367043690394,0.0,387.75,0.0,33.75,0.0,0.0,0.9335214048624039,0.043896885588765144,0.013804064255964477,0.959510862827301
5,50%,,245,245,0.670959667965656,0.18742673383391945,0.1051310078256186,0.036482590374805945,0.0,395.5,0.0,34.5,0.0,0.0,0.9448122680187225,0.055187758058309555,0.027146599648403935,0.972853422164917
6,75%,,245,245,0.6741041726071666,0.19251576212654056,0.10679830814561353,0.03675981370592149,0.0,403.25,0.0,35.25,0.0,0.0,0.9561031311750412,0.06647863052785397,0.040489135040843394,0.986195981502533
7,max,,245,245,0.6772486772486772,0.19760479041916168,0.10846560846560846,0.037037037037037035,0.0,411.0,0.0,36.0,0.0,0.0,0.9673939943313599,0.07776950299739838,0.05383167043328285,0.9995385408401489
0,count,,246,246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,246,246,0.6089238845144357,0.16010498687664043,0.14698162729658792,0.08398950131233596,0.0,226.0,0.0,61.0,0.0,0.0,0.9843607544898987,0.01563921384513378,0.00019780435832217336,0.9998021721839905
2,std,,246,246,,,,,,,,,,,,,,
3,min,,246,246,0.6089238845144357,0.16010498687664043,0.14698162729658792,0.08398950131233596,0.0,226.0,0.0,61.0,0.0,0.0,0.9843607544898987,0.01563921384513378,0.00019780435832217336,0.9998021721839905
4,25%,,246,246,0.6089238845144357,0.16010498687664043,0.14698162729658792,0.08398950131233596,0.0,226.0,0.0,61.0,0.0,0.0,0.9843607544898987,0.01563921384513378,0.00019780435832217336,0.9998021721839905
5,50%,,246,246,0.6089238845144357,0.16010498687664043,0.14698162729658792,0.08398950131233596,0.0,226.0,0.0,61.0,0.0,0.0,0.9843607544898987,0.01563921384513378,0.00019780435832217336,0.9998021721839905
6,75%,,246,246,0.6089238845144357,0.16010498687664043,0.14698162729658792,0.08398950131233596,0.0,226.0,0.0,61.0,0.0,0.0,0.9843607544898987,0.01563921384513378,0.00019780435832217336,0.9998021721839905
7,max,,246,246,0.6089238845144357,0.16010498687664043,0.14698162729658792,0.08398950131233596,0.0,226.0,0.0,61.0,0.0,0.0,0.9843607544898987,0.01563921384513378,0.00019780435832217336,0.9998021721839905
0,count,,247,247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,247,247,0.6153846153846154,0.20256410256410257,0.1076923076923077,0.07435897435897436,0.0,574.0,0.0,50.0,0.0,0.0,0.9966316819190979,0.0033683713991194963,0.0002101536374539137,0.9997898936271667
2,std,,247,247,,,,,,,,,,,,,,
3,min,,247,247,0.6153846153846154,0.20256410256410257,0.1076923076923077,0.07435897435897436,0.0,574.0,0.0,50.0,0.0,0.0,0.9966316819190979,0.0033683713991194963,0.0002101536374539137,0.9997898936271667
4,25%,,247,247,0.6153846153846154,0.20256410256410257,0.1076923076923077,0.07435897435897436,0.0,574.0,0.0,50.0,0.0,0.0,0.9966316819190979,0.0033683713991194963,0.0002101536374539137,0.9997898936271667
5,50%,,247,247,0.6153846153846154,0.20256410256410257,0.1076923076923077,0.07435897435897436,0.0,574.0,0.0,50.0,0.0,0.0,0.9966316819190979,0.0033683713991194963,0.0002101536374539137,0.9997898936271667
6,75%,,247,247,0.6153846153846154,0.20256410256410257,0.1076923076923077,0.07435897435897436,0.0,574.0,0.0,50.0,0.0,0.0,0.9966316819190979,0.0033683713991194963,0.0002101536374539137,0.9997898936271667
7,max,,247,247,0.6153846153846154,0.20256410256410257,0.1076923076923077,0.07435897435897436,0.0,574.0,0.0,50.0,0.0,0.0,0.9966316819190979,0.0033683713991194963,0.0002101536374539137,0.9997898936271667
0,count,,248,248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,248,248,0.7222222222222222,0.20772946859903382,0.050724637681159424,0.01932367149758454,1.0,1843.0,0.0,23.0,0.0,0.0,0.9917534589767456,0.008246518671512604,0.007945921272039413,0.9920541048049927
2,std,,248,248,,,,,,,,,,,,,,
3,min,,248,248,0.7222222222222222,0.20772946859903382,0.050724637681159424,0.01932367149758454,1.0,1843.0,0.0,23.0,0.0,0.0,0.9917534589767456,0.008246518671512604,0.007945921272039413,0.9920541048049927
4,25%,,248,248,0.7222222222222222,0.20772946859903382,0.050724637681159424,0.01932367149758454,1.0,1843.0,0.0,23.0,0.0,0.0,0.9917534589767456,0.008246518671512604,0.007945921272039413,0.9920541048049927
5,50%,,248,248,0.7222222222222222,0.20772946859903382,0.050724637681159424,0.01932367149758454,1.0,1843.0,0.0,23.0,0.0,0.0,0.9917534589767456,0.008246518671512604,0.007945921272039413,0.9920541048049927
6,75%,,248,248,0.7222222222222222,0.20772946859903382,0.050724637681159424,0.01932367149758454,1.0,1843.0,0.0,23.0,0.0,0.0,0.9917534589767456,0.008246518671512604,0.007945921272039413,0.9920541048049927
7,max,,248,248,0.7222222222222222,0.20772946859903382,0.050724637681159424,0.01932367149758454,1.0,1843.0,0.0,23.0,0.0,0.0,0.9917534589767456,0.008246518671512604,0.007945921272039413,0.9920541048049927
0,count,,249,249,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,249,249,0.6525428705661264,0.18354695207892885,0.12076799976509278,0.043142177589852004,0.0,177.0,0.5,40.5,0.0,0.0,0.9994393289089203,0.0005606981285382062,0.00019874011195497587,0.9998012781143188
2,std,,249,249,0.009260324888689202,0.014497806846473655,0.010002604294004555,0.004765122336220127,0.0,32.526911934581186,0.7071067811865476,2.1213203435596424,0.0,0.0,9.377673793673923e-05,9.382526443517119e-05,3.5899823279864396e-05,3.59934086283035e-05
3,min,,249,249,0.6459948320413437,0.17329545454545456,0.11369509043927649,0.03977272727272727,0.0,154.0,0.0,39.0,0.0,0.0,0.9993730187416077,0.0004943536478094757,0.00017335510347038507,0.9997758269309998
4,25%,,249,249,0.649268851303735,0.1784212033121917,0.11723154510218464,0.04145745243128964,0.0,165.5,0.25,39.75,0.0,0.0,0.999406173825264,0.0005275258881738409,0.00018604760771268047,0.9997885525226593
5,50%,,249,249,0.6525428705661264,0.18354695207892885,0.12076799976509278,0.043142177589852004,0.0,177.0,0.5,40.5,0.0,0.0,0.9994393289089203,0.0005606981285382062,0.00019874011195497587,0.9998012781143188
6,75%,,249,249,0.6558168898285177,0.18867270084566598,0.12430445442800094,0.044826902748414374,0.0,188.5,0.75,41.25,0.0,0.0,0.9994724839925766,0.0005938703689025715,0.00021143261619727127,0.9998140037059784
7,max,,249,249,0.6590909090909091,0.1937984496124031,0.1278409090909091,0.046511627906976744,0.0,200.0,1.0,42.0,0.0,0.0,0.9995056390762329,0.0006270426092669368,0.00022412512043956667,0.9998267292976379
0,count,,250,250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,250,250,0.6444444444444445,0.16790123456790124,0.12839506172839507,0.05925925925925926,0.0,367.0,0.0,44.0,0.0,0.0,0.9995326995849609,0.0004673204675782472,0.0001754374970914796,0.999824583530426
2,std,,250,250,,,,,,,,,,,,,,
3,min,,250,250,0.6444444444444445,0.16790123456790124,0.12839506172839507,0.05925925925925926,0.0,367.0,0.0,44.0,0.0,0.0,0.9995326995849609,0.0004673204675782472,0.0001754374970914796,0.999824583530426
4,25%,,250,250,0.6444444444444445,0.16790123456790124,0.12839506172839507,0.05925925925925926,0.0,367.0,0.0,44.0,0.0,0.0,0.9995326995849609,0.0004673204675782472,0.0001754374970914796,0.999824583530426
5,50%,,250,250,0.6444444444444445,0.16790123456790124,0.12839506172839507,0.05925925925925926,0.0,367.0,0.0,44.0,0.0,0.0,0.9995326995849609,0.0004673204675782472,0.0001754374970914796,0.999824583530426
6,75%,,250,250,0.6444444444444445,0.16790123456790124,0.12839506172839507,0.05925925925925926,0.0,367.0,0.0,44.0,0.0,0.0,0.9995326995849609,0.0004673204675782472,0.0001754374970914796,0.999824583530426
7,max,,250,250,0.6444444444444445,0.16790123456790124,0.12839506172839507,0.05925925925925926,0.0,367.0,0.0,44.0,0.0,0.0,0.9995326995849609,0.0004673204675782472,0.0001754374970914796,0.999824583530426
0,count,,251,251,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,251,251,0.6128563347201237,0.21724513250889718,0.11655125992653113,0.05334727284444794,0.0,16798.0,0.0,52.5,0.0,0.0,0.9816620051860809,0.018337997258640826,0.00020520814723568037,0.9997947812080383
2,std,,251,251,0.019635807100854455,0.023600437570160608,0.008501423445676818,0.004536792976370712,0.0,23405.234457274724,0.0,0.7071067811865476,0.0,0.0,0.02487671371822158,0.024876699724150787,2.9280977645772955e-05,2.9334206563582246e-05
3,min,,251,251,0.5989717223650386,0.20055710306406685,0.11053984575835475,0.05013927576601671,0.0,248.0,0.0,52.0,0.0,0.0,0.96407151222229,0.0007475141901522875,0.0001845033693825826,0.9997740387916565
4,25%,,251,251,0.6059140285425811,0.20890111778648202,0.11354555284244294,0.05174327430523233,0.0,8523.0,0.0,52.25,0.0,0.0,0.9728667587041855,0.009542755724396557,0.0001948557583091315,0.9997844099998474
5,50%,,251,251,0.6128563347201237,0.21724513250889718,0.11655125992653113,0.05334727284444794,0.0,16798.0,0.0,52.5,0.0,0.0,0.9816620051860809,0.018337997258640826,0.00020520814723568037,0.9997947812080383
6,75%,,251,251,0.6197986408976663,0.22558914723131235,0.11955696701061932,0.054951271383663555,0.0,25073.0,0.0,52.75,0.0,0.0,0.9904572516679764,0.027133238792885095,0.00021556053616222925,0.9998051524162292
7,max,,251,251,0.6267409470752089,0.23393316195372751,0.12256267409470752,0.056555269922879174,0.0,33348.0,0.0,53.0,0.0,0.0,0.9992524981498718,0.035928480327129364,0.00022591292508877814,0.9998155236244202
0,count,,252,252,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,252,252,0.6882990221954102,0.1704195259281603,0.11213332327878742,0.02914812859764221,0.5,2178.5,0.0,28.0,0.0,0.0,0.9991321265697479,0.0008678900776430964,0.0002671714755706489,0.9997328817844391
2,std,,252,252,0.02635542656771517,0.01005302756049347,0.016209973718476017,9.242528874569854e-05,0.7071067811865476,67.17514421272202,0.0,5.656854249492381,0.0,0.0,0.0004645847111355849,0.0004645275823995174,8.198208232167347e-05,8.19756203536889e-05
3,min,,252,252,0.6696629213483146,0.16331096196868009,0.10067114093959731,0.029082774049217,0.0,2131.0,0.0,24.0,0.0,0.0,0.9988036155700684,0.000539419474080205,0.00020920138922519982,0.999674916267395
4,25%,,252,252,0.6789809717718623,0.16686524394842017,0.10640223210919236,0.029115451323429603,0.25,2154.75,0.0,26.0,0.0,0.0,0.9989678710699081,0.0007036547758616507,0.00023818643239792436,0.999703899025917
5,50%,,252,252,0.6882990221954102,0.1704195259281603,0.11213332327878742,0.02914812859764221,0.5,2178.5,0.0,28.0,0.0,0.0,0.9991321265697479,0.0008678900776430964,0.0002671714755706489,0.9997328817844391
6,75%,,252,252,0.6976170726189579,0.17397380790790037,0.11786441444838247,0.029180805871854815,0.75,2202.25,0.0,30.0,0.0,0.0,0.9992963820695877,0.0010321253794245422,0.00029615651874337345,0.9997618645429611
7,max,,252,252,0.7069351230425056,0.17752808988764046,0.12359550561797752,0.029213483146067417,1.0,2226.0,0.0,32.0,0.0,0.0,0.9994606375694275,0.001196360681205988,0.000325141561916098,0.9997908473014832
0,count,,253,253,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,253,253,0.6825174825174825,0.17440835027041923,0.11019325502084124,0.03288091219125702,0.0,8223.5,0.0,32.5,0.0,0.0,0.9609110951423645,0.039088865130906925,0.0003758325183298439,0.9996241629123688
2,std,,253,253,0.013845447463792526,0.017825648230125578,0.005787611395842899,0.009767812162175945,0.0,11211.17801571271,0.0,0.7071067811865476,0.0,0.0,0.05459879772864959,0.05459878015374303,0.0001627865635859786,0.00016272898210056185
3,min,,253,253,0.6727272727272727,0.16180371352785147,0.10610079575596817,0.025974025974025976,0.0,296.0,0.0,32.0,0.0,0.0,0.9223039150238037,0.0004816974396817386,0.0002607250353321433,0.9995090961456299
4,25%,,253,253,0.6776223776223776,0.16810603189913537,0.1081470253884047,0.029427469082641496,0.0,4259.75,0.0,32.25,0.0,0.0,0.9416075050830841,0.01978528128529433,0.0003182787768309936,0.9995666295289993
5,50%,,253,253,0.6825174825174825,0.17440835027041923,0.11019325502084124,0.03288091219125702,0.0,8223.5,0.0,32.5,0.0,0.0,0.9609110951423645,0.039088865130906925,0.0003758325183298439,0.9996241629123688
6,75%,,253,253,0.6874125874125874,0.18071066864170313,0.11223948465327775,0.03633435529987254,0.0,12187.25,0.0,32.75,0.0,0.0,0.9802146852016449,0.05839244897651952,0.00043338625982869416,0.9996816962957382
7,max,,253,253,0.6923076923076923,0.18701298701298702,0.11428571428571428,0.03978779840848806,0.0,16151.0,0.0,33.0,0.0,0.0,0.9995182752609253,0.07769603282213211,0.0004909400013275445,0.9997392296791077
0,count,,254,254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,254,254,0.7181571815718157,0.16260162601626016,0.0921409214092141,0.02710027100271003,1.0,539.0,0.0,27.0,0.0,0.0,0.9995155334472656,0.00048449981841258705,0.00022963102674111724,0.9997703433036804
2,std,,254,254,,,,,,,,,,,,,,
3,min,,254,254,0.7181571815718157,0.16260162601626016,0.0921409214092141,0.02710027100271003,1.0,539.0,0.0,27.0,0.0,0.0,0.9995155334472656,0.00048449981841258705,0.00022963102674111724,0.9997703433036804
4,25%,,254,254,0.7181571815718157,0.16260162601626016,0.0921409214092141,0.02710027100271003,1.0,539.0,0.0,27.0,0.0,0.0,0.9995155334472656,0.00048449981841258705,0.00022963102674111724,0.9997703433036804
5,50%,,254,254,0.7181571815718157,0.16260162601626016,0.0921409214092141,0.02710027100271003,1.0,539.0,0.0,27.0,0.0,0.0,0.9995155334472656,0.00048449981841258705,0.00022963102674111724,0.9997703433036804
6,75%,,254,254,0.7181571815718157,0.16260162601626016,0.0921409214092141,0.02710027100271003,1.0,539.0,0.0,27.0,0.0,0.0,0.9995155334472656,0.00048449981841258705,0.00022963102674111724,0.9997703433036804
7,max,,254,254,0.7181571815718157,0.16260162601626016,0.0921409214092141,0.02710027100271003,1.0,539.0,0.0,27.0,0.0,0.0,0.9995155334472656,0.00048449981841258705,0.00022963102674111724,0.9997703433036804
0,count,,255,255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,255,255,0.5522388059701493,0.1865671641791045,0.15920398009950248,0.10199004975124377,0.0,1871.0,0.0,95.0,0.0,0.0,0.9921002984046936,0.007899649441242218,0.0006332005723379552,0.999366819858551
2,std,,255,255,,,,,,,,,,,,,,
3,min,,255,255,0.5522388059701493,0.1865671641791045,0.15920398009950248,0.10199004975124377,0.0,1871.0,0.0,95.0,0.0,0.0,0.9921002984046936,0.007899649441242218,0.0006332005723379552,0.999366819858551
4,25%,,255,255,0.5522388059701493,0.1865671641791045,0.15920398009950248,0.10199004975124377,0.0,1871.0,0.0,95.0,0.0,0.0,0.9921002984046936,0.007899649441242218,0.0006332005723379552,0.999366819858551
5,50%,,255,255,0.5522388059701493,0.1865671641791045,0.15920398009950248,0.10199004975124377,0.0,1871.0,0.0,95.0,0.0,0.0,0.9921002984046936,0.007899649441242218,0.0006332005723379552,0.999366819858551
6,75%,,255,255,0.5522388059701493,0.1865671641791045,0.15920398009950248,0.10199004975124377,0.0,1871.0,0.0,95.0,0.0,0.0,0.9921002984046936,0.007899649441242218,0.0006332005723379552,0.999366819858551
7,max,,255,255,0.5522388059701493,0.1865671641791045,0.15920398009950248,0.10199004975124377,0.0,1871.0,0.0,95.0,0.0,0.0,0.9921002984046936,0.007899649441242218,0.0006332005723379552,0.999366819858551
0,count,,256,256,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,256,256,0.656322461187865,0.1847457627118644,0.10638085742771686,0.052550918672553765,0.0,1810.5,0.0,36.0,0.0,0.0,0.9994513392448425,0.0005486099689733237,0.0002275281585752964,0.9997724890708923
2,std,,256,256,0.00020948327942861436,0.02157274925653875,0.0173427984219233,0.004439434114044015,0.0,663.9732675341681,0.0,4.242640687119285,0.0,0.0,0.0001368929639633838,0.00013690354183454328,3.097529947747518e-05,3.102008050401801e-05
3,min,,256,256,0.6561743341404358,0.1694915254237288,0.09411764705882353,0.04941176470588235,0.0,1341.0,0.0,33.0,0.0,0.0,0.9993545413017273,0.00045180454617366195,0.00020562531426548958,0.999750554561615
4,25%,,256,256,0.6562483976641504,0.1771186440677966,0.10024925224327019,0.05098134168921806,0.0,1575.75,0.0,34.5,0.0,0.0,0.9994029402732849,0.0005002072575734928,0.000216576736420393,0.9997615218162537
5,50%,,256,256,0.656322461187865,0.1847457627118644,0.10638085742771686,0.052550918672553765,0.0,1810.5,0.0,36.0,0.0,0.0,0.9994513392448425,0.0005486099689733237,0.0002275281585752964,0.9997724890708923
6,75%,,256,256,0.6563965247115795,0.19237288135593222,0.11251246261216351,0.05412049565588947,0.0,2045.25,0.0,37.5,0.0,0.0,0.9994997382164001,0.0005970126803731546,0.00023847958073019981,0.999783456325531
7,max,,256,256,0.6564705882352941,0.2,0.11864406779661017,0.05569007263922518,0.0,2280.0,0.0,39.0,0.0,0.0,0.9995481371879578,0.0006454153917729855,0.0002494310028851032,0.9997944235801697
0,count,,257,257,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,mean,,257,257,0.6344394450693663,0.16387326584176978,0.13707349081364828,0.0646137982752156,0.0,747.0,0.0,48.5,0.0,0.0,0.9984386563301086,0.001561327197123319,0.0002809278230415657,0.9997190833091736
2,std,,257,257,0.06577922475154949,0.009518235262316117,0.02885960747362418,0.02740138201560918,0.0,407.29350596345137,0.0,27.577164466275352,0.0,0.0,0.0001828330288402583,0.00018293041110937626,1.5694165180537796e-05,1.567862764605258e-05
3,min,,257,257,0.5879265091863517,0.15714285714285714,0.11666666666666667,0.04523809523809524,0.0,459.0,0.0,29.0,0.0,0.0,0.9983093738555908,0.001431975862942636,0.00026983037241734564,0.9997079968452454
4,25%,,257,257,0.611182977127859,0.16050806149231345,0.1268700787401575,0.054925946756655415,0.0,603.0,0.0,38.75,0.0,0.0,0.9983740150928497,0.0014966515300329775,0.0002753790977294557,0.9997135400772095
5,50%,,257,257,0.6344394450693663,0.16387326584176978,0.13707349081364828,0.0646137982752156,0.0,747.0,0.0,48.5,0.0,0.0,0.9984386563301086,0.001561327197123319,0.0002809278230415657,0.9997190833091736
6,75%,,257,257,0.6576959130108737,0.16723847019122612,0.1472769028871391,0.07430164979377578,0.0,891.0,0.0,58.25,0.0,0.0,0.9985032975673676,0.0016260028642136604,0.00028647654835367575,0.9997246265411377
7,max,,257,257,0.680952380952381,0.17060367454068243,0.15748031496062992,0.08398950131233596,0.0,1035.0,0.0,68.0,0.0,0.0,0.9985679388046265,0.0016906785313040018,0.0002920252736657858,0.9997301697731018
0,count,,258,258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,258,258,0.6935483870967742,0.16666666666666666,0.11021505376344086,0.02956989247311828,0.0,324.0,0.0,34.0,0.0,0.0,0.9995282888412476,0.00047166840522550046,0.00018596617155708373,0.9998140931129456
2,std,,258,258,,,,,,,,,,,,,,
3,min,,258,258,0.6935483870967742,0.16666666666666666,0.11021505376344086,0.02956989247311828,0.0,324.0,0.0,34.0,0.0,0.0,0.9995282888412476,0.00047166840522550046,0.00018596617155708373,0.9998140931129456
4,25%,,258,258,0.6935483870967742,0.16666666666666666,0.11021505376344086,0.02956989247311828,0.0,324.0,0.0,34.0,0.0,0.0,0.9995282888412476,0.00047166840522550046,0.00018596617155708373,0.9998140931129456
5,50%,,258,258,0.6935483870967742,0.16666666666666666,0.11021505376344086,0.02956989247311828,0.0,324.0,0.0,34.0,0.0,0.0,0.9995282888412476,0.00047166840522550046,0.00018596617155708373,0.9998140931129456
6,75%,,258,258,0.6935483870967742,0.16666666666666666,0.11021505376344086,0.02956989247311828,0.0,324.0,0.0,34.0,0.0,0.0,0.9995282888412476,0.00047166840522550046,0.00018596617155708373,0.9998140931129456
7,max,,258,258,0.6935483870967742,0.16666666666666666,0.11021505376344086,0.02956989247311828,0.0,324.0,0.0,34.0,0.0,0.0,0.9995282888412476,0.00047166840522550046,0.00018596617155708373,0.9998140931129456
0,count,,259,259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,259,259,0.6692708333333334,0.1875,0.09635416666666667,0.046875,0.0,1112.0,0.0,34.0,0.0,0.0,0.9993714690208435,0.0006285662529990077,0.00018997970619238913,0.9998100399971008
2,std,,259,259,,,,,,,,,,,,,,
3,min,,259,259,0.6692708333333334,0.1875,0.09635416666666667,0.046875,0.0,1112.0,0.0,34.0,0.0,0.0,0.9993714690208435,0.0006285662529990077,0.00018997970619238913,0.9998100399971008
4,25%,,259,259,0.6692708333333334,0.1875,0.09635416666666667,0.046875,0.0,1112.0,0.0,34.0,0.0,0.0,0.9993714690208435,0.0006285662529990077,0.00018997970619238913,0.9998100399971008
5,50%,,259,259,0.6692708333333334,0.1875,0.09635416666666667,0.046875,0.0,1112.0,0.0,34.0,0.0,0.0,0.9993714690208435,0.0006285662529990077,0.00018997970619238913,0.9998100399971008
6,75%,,259,259,0.6692708333333334,0.1875,0.09635416666666667,0.046875,0.0,1112.0,0.0,34.0,0.0,0.0,0.9993714690208435,0.0006285662529990077,0.00018997970619238913,0.9998100399971008
7,max,,259,259,0.6692708333333334,0.1875,0.09635416666666667,0.046875,0.0,1112.0,0.0,34.0,0.0,0.0,0.9993714690208435,0.0006285662529990077,0.00018997970619238913,0.9998100399971008
0,count,,260,260,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mean,,260,260,0.6814814814814815,0.21728395061728395,0.08148148148148149,0.019753086419753086,0.0,316.0,0.0,24.0,0.0,0.0,0.9995019435882568,0.0004981012898497283,0.00018239948258269578,0.9998176693916321
2,std,,260,260,,,,,,,,,,,,,,
3,min,,260,260,0.6814814814814815,0.21728395061728395,0.08148148148148149,0.019753086419753086,0.0,316.0,0.0,24.0,0.0,0.0,0.9995019435882568,0.0004981012898497283,0.00018239948258269578,0.9998176693916321
4,25%,,260,260,0.6814814814814815,0.21728395061728395,0.08148148148148149,0.019753086419753086,0.0,316.0,0.0,24.0,0.0,0.0,0.9995019435882568,0.0004981012898497283,0.00018239948258269578,0.9998176693916321
5,50%,,260,260,0.6814814814814815,0.21728395061728395,0.08148148148148149,0.019753086419753086,0.0,316.0,0.0,24.0,0.0,0.0,0.9995019435882568,0.0004981012898497283,0.00018239948258269578,0.9998176693916321
6,75%,,260,260,0.6814814814814815,0.21728395061728395,0.08148148148148149,0.019753086419753086,0.0,316.0,0.0,24.0,0.0,0.0,0.9995019435882568,0.0004981012898497283,0.00018239948258269578,0.9998176693916321
7,max,,260,260,0.6814814814814815,0.21728395061728395,0.08148148148148149,0.019753086419753086,0.0,316.0,0.0,24.0,0.0,0.0,0.9995019435882568,0.0004981012898497283,0.00018239948258269578,0.9998176693916321
0,count,,261,261,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1,mean,,261,261,0.7005383614283159,0.1976228299806453,0.07153355181633451,0.030305256774704258,0.6666666666666666,222.33333333333334,1.0,25.666666666666668,0.0,0.0,0.9991581439971924,0.000841860135551542,0.00023114625461554775,0.999768873055776
2,std,,261,261,0.02054759612708886,0.011214379247409516,0.01152467647277207,0.005944037493459575,0.5773502691896258,50.61949558552844,0.0,4.618802153517007,0.0,0.0,0.0005965828002303048,0.0005965521962664752,3.435260072158233e-05,3.4334000018742474e-05
3,min,,261,261,0.6768802228412256,0.1864864864864865,0.05822784810126582,0.024324324324324326,0.0,166.0,1.0,23.0,0.0,0.0,0.9984703660011292,0.00046429981011897326,0.00020173529628664255,0.9997311234474182
4,25%,,261,261,0.6938455168260182,0.19197742045843313,0.06811113853531257,0.02735203557988368,0.5,201.5,1.0,23.0,0.0,0.0,0.9989693760871887,0.0004979902587365359,0.00021226802346063778,0.9997541904449463
5,50%,,261,261,0.7108108108108108,0.19746835443037974,0.07799442896935933,0.030379746835443037,1.0,237.0,1.0,23.0,0.0,0.0,0.9994683861732483,0.0005316807073540986,0.000222800750634633,0.9997772574424744
